total_timesteps,explained_variance,fps,nupdates,policy_entropy,value_loss,ep_reward_mean,ep_len_mean
80,-56.67403793334961,40,1,1.7917490005493164,0.007044839672744274,,
8000,-0.0015496015548706055,1069,100,1.7917228937149048,0.047656137496232986,,
16000,0.006277740001678467,1149,200,1.7914378643035889,0.09702302515506744,-20.46153846153846,856.3076923076923
24000,-0.00516355037689209,1194,300,1.791155219078064,0.02467603050172329,-20.25,903.1875
32000,0.023585379123687744,1197,400,1.791150689125061,0.034089867025613785,-20.275862068965516,907.8275862068965
40000,0.005640685558319092,1204,500,1.7908287048339844,0.15222959220409393,-20.21875,917.4375
48000,0.01992809772491455,1200,600,1.7805620431900024,0.09008274227380753,-20.29787234042553,914.2340425531914
56000,0.04239857196807861,1203,700,1.7506344318389893,0.072202168405056,-20.26923076923077,913.9038461538462
64000,-0.23894214630126953,1198,800,1.7800003290176392,0.07060547918081284,-20.20967741935484,927.0806451612904
72000,0.016759395599365234,1199,900,1.7661678791046143,0.02529647946357727,-20.18840579710145,926.3768115942029
80000,0.03494834899902344,1199,1000,1.7816517353057861,0.11167807877063751,-20.21794871794872,918.7948717948718
88000,0.004012882709503174,1199,1100,1.7822002172470093,0.1845071017742157,-20.21590909090909,916.0568181818181
96000,0.10885119438171387,1199,1200,1.754089117050171,0.006382831372320652,-20.237113402061855,911.9587628865979
104000,0.038451433181762695,1201,1300,1.789907693862915,0.1502240002155304,-20.24,913.77
112000,0.06428021192550659,1201,1400,1.7828813791275024,0.09698803722858429,-20.3,903.05
120000,0.13312143087387085,1199,1500,1.7855186462402344,0.15996327996253967,-20.32,897.75
128000,0.025594592094421387,1201,1600,1.7819774150848389,0.031339406967163086,-20.38,895.24
136000,0.25000864267349243,1203,1700,1.7852720022201538,0.06018367409706116,-20.39,894.56
144000,-0.21343421936035156,1202,1800,1.774587631225586,0.07556592673063278,-20.45,884.28
152000,0.17057430744171143,1203,1900,1.7753715515136719,0.02615753933787346,-20.5,872.88
160000,0.5001409649848938,1203,2000,1.6913779973983765,0.036697518080472946,-20.56,867.42
168000,0.5113394260406494,1204,2100,1.7815996408462524,0.07866272330284119,-20.54,874.02
176000,-0.11296975612640381,1203,2200,1.7879550457000732,0.1366574913263321,-20.58,875.48
184000,0.6539402008056641,1203,2300,1.7818275690078735,0.02100939117372036,-20.53,883.47
192000,0.6779122352600098,1204,2400,1.7861095666885376,0.04996492713689804,-20.51,892.09
200000,0.7016724348068237,1205,2500,1.7672569751739502,0.015626462176442146,-20.5,897.15
208000,0.6979424059391022,1205,2600,1.7755464315414429,0.04311515763401985,-20.46,899.41
216000,0.8633419424295425,1206,2700,1.7591453790664673,0.026815738528966904,-20.46,891.16
224000,0.956594180315733,1204,2800,1.764296531677246,0.006918980740010738,-20.49,877.76
232000,0.9029025956988335,1204,2900,1.7772468328475952,0.00729260453954339,-20.52,873.31
240000,0.8536103814840317,1203,3000,1.7745097875595093,0.016185302287340164,-20.51,871.05
248000,0.45131999254226685,1204,3100,1.7892789840698242,0.05718851834535599,-20.56,859.01
256000,0.9002519994974136,1128,3200,1.7878599166870117,0.008927308022975922,-20.59,851.5
264000,0.5145108103752136,1130,3300,1.7893184423446655,0.036763835698366165,-20.58,847.2
272000,0.8019556850194931,1132,3400,1.784306287765503,0.019092677161097527,-20.59,843.21
280000,0.4118117690086365,1133,3500,1.7900340557098389,0.033128492534160614,-20.6,842.67
288000,0.3689146041870117,1136,3600,1.7867056131362915,0.08534204214811325,-20.56,846.35
296000,0.8112130612134933,1136,3700,1.789658784866333,0.012960219755768776,-20.59,854.99
304000,0.6070098280906677,1138,3800,1.7845128774642944,0.04429299384355545,-20.58,860.53
312000,0.8803516924381256,1140,3900,1.7837469577789307,0.012813786044716835,-20.53,870.27
320000,0.5724224150180817,1141,4000,1.7806396484375,0.07334615290164948,-20.46,884.3
