#{"t_start": 1572417113.2087774, "env_id": "PongNoFrameskip-v4"}
r,l,t
-17.0,2061,2215.579184
19.0,1705,4480.354041
20.0,1711,6713.800128
20.0,1717,8945.357291
21.0,1635,11167.581656
21.0,1633,13393.715743
21.0,1630,15621.274812
21.0,1628,17851.44839
21.0,1626,20076.929609
21.0,1631,22303.177226
21.0,1630,24521.157701
21.0,1630,26748.230414
20.0,1668,28980.696107
21.0,1632,31352.340525
21.0,1631,33733.404435
21.0,1628,36111.78564
21.0,1628,38497.919171
20.0,1679,40870.688816
21.0,1627,43261.062322
