episodes,mean 100 episode reward,% time spent exploring,steps
100,-20.3,81,91217
200,-19.3,58,210578
300,-16.3,25,374500
400,8.0,1,585256
500,16.9,1,776246
600,17.9,1,959922
700,18.2,1,1143270
800,19.3,1,1318230
900,19.0,1,1496046
1000,19.2,1,1670836
1100,19.5,1,1844683
1200,19.2,1,2019373
1300,19.2,1,2194145
1400,18.2,1,2373960
1500,19.0,1,2550332
1600,19.2,1,2726221
1700,18.9,1,2902380
1800,19.8,1,3074317
1900,19.7,1,3247262
2000,19.7,1,3419864
2100,19.8,1,3591552
2200,19.2,1,3766738
2300,17.7,1,3949450
2400,19.6,1,4123822
2500,18.9,1,4297183
2600,18.8,1,4477465
2700,19.5,1,4651658
2800,19.2,1,4824612
2900,19.5,1,4996930
