#{"t_start": 1572458530.0167518, "env_id": "PongNoFrameskip-v4"}
r,l,t
-19.0,1104,219.659937
-20.0,855,444.749813
-21.0,851,671.418511
-21.0,865,897.98178
-19.0,934,1129.327731
-20.0,1178,1362.733968
-19.0,1036,1579.40708
-21.0,946,1796.633995
-19.0,960,2013.559995
-19.0,1045,2255.408457
-21.0,1019,2485.809802
-18.0,1491,2746.818045
-19.0,1589,3016.767616
-19.0,1625,3292.24608
-21.0,1381,3556.883834
-9.0,2302,3893.195085
-21.0,1352,4147.807775
-3.0,2719,4522.620153
-4.0,2618,4829.549845
-8.0,2604,5131.736854
922,293.352471
-20.0,916,301.410235
-20.0,924,309.549695
-19.0,1042,318.717445
-20.0,947,327.043387
-20.0,989,338.497521
-20.0,1058,353.241372
-19.0,1121,365.024358
-20.0,911,373.053619
-21.0,806,380.218981
-19.0,976,390.704496
-21.0,785,403.249618
-20.0,981,474.531376
-21.0,851,484.047526
-20.0,924,492.184178
-21.0,851,499.695912
-21.0,776,506.567756
-20.0,898,515.276297
-20.0,975,531.199599
-20.0,901,540.072723
-19.0,1022,549.045422
-20.0,943,557.381452
-20.0,1091,568.747638
-20.0,839,581.972235
-20.0,957,591.06827
-20.0,956,601.505722
-21.0,879,609.254873
-21.0,818,616.29118
-21.0,884,627.679965
-20.0,1067,698.813541
-20.0,1005,712.317225
-20.0,838,721.581048
-19.0,938,729.836552
-21.0,836,736.953462
-21.0,786,743.986665
-19.0,1142,756.900424
-19.0,1112,772.199212
-20.0,1017,781.150707
-21.0,856,788.623375
-20.0,960,797.053241
-21.0,785,804.021281
-18.0,1171,820.055399
-21.0,1008,832.66443
-19.0,1139,844.572937
-20.0,895,852.475324
-21.0,898,918.092856
-21.0,866,929.3384
-21.0,832,941.290282
-21.0,843,948.689167
-21.0,820,955.804308
-20.0,897,965.495028
-20.0,940,973.783448
-19.0,1016,985.629687
-21.0,824,996.679906
-20.0,918,1008.43102
-21.0,848,1015.896062
-20.0,842,1023.316834
-21.0,883,1031.164255
-21.0,843,1038.409858
-19.0,1034,1047.450599
-19.0,914,1058.274459
-21.0,999,1071.959485
-21.0,990,1144.187182
-19.0,1052,1153.492634
-19.0,948,1161.922774
-21.0,847,1172.155843
-21.0,931,1185.940029
-21.0,934,1194.11338
-20.0,1136,1205.928339
-20.0,1048,1215.151516
-20.0,898,1223.115665
-21.0,1036,1232.169783
-20.0,1008,1243.687261
-19.0,1007,1258.002107
-19.0,1119,1267.985235
-20.0,841,1275.296571
-20.0,836,1282.67254
-21.0,875,1290.327408
-21.0,968,1302.657804
-21.0,870,1381.96515
-20.0,919,1390.167161
-21.0,847,1397.446771
-19.0,1201,1408.046966
-20.0,1002,1416.737437
-20.0,908,1424.804405
-21.0,788,1433.676445
-19.0,1028,1449.141202
-21.0,836,1456.572182
-20.0,957,1464.992972
-20.0,899,1472.849522
-21.0,870,1484.343423
-21.0,893,1497.739693
-21.0,874,1505.418705
-20.0,885,1513.21871
-20.0,1039,1522.328891
-20.0,843,1529.606335
-21.0,879,1600.060863
-21.0,910,1608.06126
-21.0,877,1615.770525
-19.0,919,1623.708915
-20.0,866,1631.322535
-21.0,941,1639.556274
-20.0,1111,1651.121014
-21.0,1018,1666.460172
-20.0,870,1675.035225
-20.0,1057,1686.079616
-20.0,901,1693.957484
-21.0,787,1700.712157
-20.0,1036,1709.772055
-18.0,1084,1726.149962
-21.0,820,1734.712044
-21.0,838,1742.098709
-21.0,909,1807.753074
-21.0,835,1815.135345
-21.0,883,1822.876216
-20.0,859,1830.425567
-20.0,1215,1851.176197
-18.0,1269,1862.211312
-21.0,899,1870.059108
-20.0,930,1878.292386
-19.0,1097,1890.736955
-19.0,1127,1906.109952
-19.0,962,1914.543423
-21.0,852,1923.87224
-21.0,1025,1932.82338
-19.0,1027,1941.834407
-18.0,1195,1952.288555
-21.0,828,1961.547588
-19.0,1246,2045.484875
-21.0,926,2053.600324
-20.0,1111,2063.397445
-17.0,1279,2080.136316
-19.0,1124,2093.706002
-21.0,920,2101.719372
-21.0,942,2109.97513
-20.0,1032,2119.093871
-20.0,1020,2127.998353
-19.0,1190,2145.999242
-21.0,883,2154.66521
-18.0,1141,2166.494613
-20.0,916,2174.525032
-19.0,972,2183.967634
-19.0,1094,2201.259365
-19.0,1227,2289.722296
-19.0,968,2298.295169
-19.0,996,2306.955613
-19.0,962,2315.404153
-19.0,1004,2324.244313
-21.0,959,2332.507834
-20.0,983,2346.698977
-19.0,1201,2362.817412
-20.0,1117,2372.608726
-18.0,1188,2382.90256
-19.0,1181,2396.893405
-19.0,1122,2411.608531
-15.0,1497,2424.620525
-20.0,931,2432.739754
-20.0,1108,2513.908629
-19.0,1128,2531.486176
-21.0,972,2539.97948
-21.0,1083,2549.439671
-21.0,913,2557.476747
-19.0,1106,2567.115847
-15.0,1448,2579.628015
-17.0,1437,2599.689797
-20.0,1115,2611.199943
-20.0,1318,2622.752366
-17.0,1308,2635.177363
-18.0,1322,2655.049776
-19.0,1187,2665.425378
-20.0,1394,2783.573984
-19.0,1496,2796.763867
-20.0,1268,2807.750543
-19.0,1425,2823.185097
-20.0,1384,2841.303063
-19.0,1281,2852.428388
-20.0,1170,2862.605185
-16.0,1746,2879.515005
-20.0,1467,2897.37125
-14.0,1691,2916.183931
-17.0,1711,2931.155003
-20.0,1543,3055.011802
-20.0,1414,3067.290854
-21.0,1300,3083.041418
-13.0,1896,3104.146231
-13.0,1912,3122.431708
-11.0,2049,3149.234753
-12.0,2022,3166.859136
-14.0,1842,3182.722155
-8.0,2100,3211.255132
-20.0,1360,3339.532863
-15.0,1889,3362.12355
-17.0,1769,3381.460268
-18.0,1852,3397.597248
-9.0,2144,3418.969048
-8.0,2143,3444.076064
-20.0,1601,3458.043818
-9.0,2577,3484.22265
-21.0,1282,3629.552285
-19.0,1774,3645.008511
-7.0,2382,3674.91189
-11.0,2235,3694.299771
-19.0,1586,3708.160196
-21.0,1382,3724.935178
-19.0,1377,3741.460779
-8.0,2260,3761.075702
-21.0,1293,3772.24076
-2.0,2989,3945.838657
-21.0,1185,3957.596579
-7.0,2500,3989.197757
-19.0,1526,4002.389406
-18.0,1748,4017.595128
-2.0,2736,4049.482645
-6.0,2596,4071.941643
-7.0,2496,4235.832374
-5.0,2450,4265.421198
-9.0,2266,4285.04909
-17.0,1843,4303.847945
-1.0,2818,4334.873015
-3.0,2638,4359.708608
-4.0,2392,4542.964536
-9.0,2127,4565.70213
-9.0,2305,4586.516609
-8.0,2399,4614.661279
4.0,2822,4639.161671
-3.0,2949,4666.886036
-7.0,2419,4695.951186
-12.0,2221,4859.49801
-5.0,2456,4881.679825
-10.0,2026,4903.5719
3.0,2617,4932.88931
-1.0,2984,4961.218619
-2.0,2954,4993.626976
