mean 100 episode reward,steps,% time spent exploring,episodes
-20.2,91163,81,100
-19.6,201910,60,200
-16.9,356501,29,300
-3.3,598801,1,400
17.0,783586,1,500
17.7,964182,1,600
18.8,1142538,1,700
18.8,1321433,1,800
18.8,1499224,1,900
18.8,1676643,1,1000
19.0,1853622,1,1100
19.6,2026022,1,1200
19.6,2198548,1,1300
19.5,2372063,1,1400
19.7,2543824,1,1500
19.7,2716378,1,1600
19.4,2889325,1,1700
19.3,3062642,1,1800
19.7,3232432,1,1900
19.7,3401401,1,2000
20.0,3567533,1,2100
20.1,3733199,1,2200
20.0,3898732,1,2300
19.5,4068190,1,2400
20.1,4233935,1,2500
20.0,4401787,1,2600
19.7,4569212,1,2700
19.8,4736906,1,2800
20.1,4902144,1,2900
