#{"t_start": 1572298049.3023796, "env_id": "PongNoFrameskip-v4"}
r,l,t
-20.0,861,284.464131
-20.0,1452,601.541786
-7.0,3056,1033.266459
-11.0,2616,1428.307656
-15.0,2881,1884.00932
8.0,2829,2339.164055
15.0,2161,2703.339551
20.0,1761,3036.026706
19.0,1898,3394.150104
20.0,1761,3735.522627
17.0,1898,4081.009138
20.0,1740,4416.827796
21.0,2255,4774.936504
21.0,2253,5116.540677
21.0,1731,5439.46325
21.0,1706,5781.386454
21.0,1708,6123.3124
19.0,2058,6484.820401
21.0,1670,6812.526907
21.0,1730,7160.235202
21.0,1709,7503.511881
21.0,1727,7845.905502
20.0,2036,8204.391312
21.0,1667,8531.40259
21.0,1670,8880.767853
21.0,1671,9218.323399
21.0,1667,9560.427921
21.0,1732,9916.827002
20.0,1903,10268.824304
21.0,1727,10607.064824
21.0,1726,10950.21634
20.0,1955,11307.254011
21.0,1669,11637.130918
21.0,2249,12009.315952
21.0,2249,12355.237334
21.0,1673,12669.644665
21.0,1731,13015.201061
21.0,1669,13354.99016
21.0,1731,13702.42134
