episodes,steps,% time spent exploring,mean 100 episode reward
100,92385,81,-20.3
200,213214,57,-18.9
300,383402,24,-16.6
400,648674,1,3.2
500,836652,1,16.8
600,1024644,1,17.3
700,1210664,1,17.7
800,1389402,1,18.5
900,1565705,1,19.2
1000,1742688,1,19.1
1100,1920059,1,18.8
1200,2094538,1,19.6
1300,2268639,1,19.6
1400,2444484,1,19.2
1500,2622901,1,18.9
1600,2794902,1,19.8
1700,2967302,1,19.8
1800,3138394,1,19.8
1900,3308888,1,20.1
2000,3481860,1,19.6
2100,3657905,1,18.4
2200,3831605,1,19.8
2300,4004425,1,19.7
2400,4182391,1,19.0
2500,4354468,1,19.2
2600,4529788,1,19.0
2700,4701058,1,19.9
2800,4872893,1,19.8
