fps,serial_timesteps,n_updates,value_loss,policy_loss,explained_variance,policy_entropy,clipfrac,total_timesteps,time_elapsed,approxkl,ep_len_mean,ep_reward_mean
271,128,1,0.1617546,-0.0040461794,0.012105464935302734,1.7897632,0.064941406,1024,5.9604644775390625e-06,0.0019364817,,
923,256,2,0.064423524,-0.0009704898,0.0008202791213989258,1.7877518,0.024902344,2048,3.778958797454834,0.00071710977,,
963,384,3,0.06384674,-0.0012640156,0.006874203681945801,1.7863109,0.0,3072,4.889284133911133,0.0005518441,,
939,512,4,0.052068494,-0.0027057917,0.01719188690185547,1.7793621,0.07348633,4096,5.953913450241089,0.0018100376,,
970,640,5,0.056779653,-0.0034999088,0.022861957550048828,1.7719297,0.10644531,5120,7.045594215393066,0.0014707941,,
890,768,6,0.06615947,-0.0008032061,0.018589138984680176,1.7779071,0.02319336,6144,8.102457523345947,0.0008303456,,
820,896,7,0.050058804,-0.0023846694,-0.0030739307403564453,1.7841835,0.060546875,7168,9.254175186157227,0.0010385562,813.5,-21.0
849,1024,8,0.05517075,-0.0011228287,0.013572394847869873,1.7860246,0.010253906,8192,10.506271839141846,0.00036656435,887.5714285714286,-20.428571428571427
917,1152,9,0.05915595,-0.0020731578,0.019740402698516846,1.7804205,0.04736328,9216,11.71388578414917,0.00091102987,919.0,-20.375
882,1280,10,0.05240412,3.31676e-05,0.01851511001586914,1.7757121,0.0,10240,12.832697629928589,0.00023039467,919.0,-20.375
961,1408,11,0.05140908,-0.00087180256,0.019296646118164062,1.7803978,0.0,11264,13.994125843048096,0.00033936393,919.0,-20.375
903,1536,12,0.05308919,-0.0045298203,0.011128664016723633,1.7772278,0.11791992,12288,15.061715126037598,0.0014165052,919.0,-20.375
938,1664,13,0.050770417,-0.0013239792,0.034537553787231445,1.7679821,0.060302734,13312,16.197088956832886,0.0015107829,910.8888888888889,-20.444444444444443
943,1792,14,0.06522626,-0.0020735157,0.007336854934692383,1.7561672,0.06274414,14336,17.289642810821533,0.00086827396,918.0909090909091,-20.363636363636363
