steps,mean 100 episode reward,% time spent exploring,episodes
93193,-20.3,81,100
211270,-19.2,58,200
380585,-16.1,24,300
612606,4.4,1,400
793408,18.2,1,500
973688,18.3,1,600
1151928,18.4,1,700
1329020,18.9,1,800
1507989,18.2,1,900
1688398,18.7,1,1000
1864956,18.9,1,1100
2038603,19.5,1,1200
2211009,19.6,1,1300
2381206,20.0,1,1400
2552240,19.9,1,1500
2723581,19.8,1,1600
2894452,19.7,1,1700
3066672,19.7,1,1800
3238492,19.7,1,1900
3409180,19.8,1,2000
3581783,19.4,1,2100
3752521,19.9,1,2200
3926313,19.5,1,2300
4098226,19.8,1,2400
4270255,19.9,1,2500
4441995,19.8,1,2600
4613360,20.0,1,2700
4789469,18.7,1,2800
4961877,19.6,1,2900
