mean 100 episode reward,steps,episodes,% time spent exploring
-20.2,93527,100,81
-19.2,213989,200,57
-16.5,378304,300,25
-2.6,622424,400,1
16.4,816550,500,1
17.4,999639,600,1
17.2,1182464,700,1
18.2,1362920,800,1
18.2,1545195,900,1
18.6,1723707,1000,1
18.6,1903476,1100,1
19.2,2081595,1200,1
19.6,2257301,1300,1
19.7,2431035,1400,1
19.0,2603986,1500,1
19.5,2778821,1600,1
19.9,2951789,1700,1
19.5,3126803,1800,1
19.8,3300554,1900,1
19.9,3472865,2000,1
19.7,3646065,2100,1
20.0,3817666,2200,1
18.6,3990367,2300,1
20.1,4161673,2400,1
19.8,4334361,2500,1
19.9,4506857,2600,1
19.7,4680521,2700,1
19.4,4855148,2800,1
