Model|Params(M)|FLOPs(G)|Top-1
hardnet68|17.57|4.26|23.52
hardnet85|36.67|9.10|21.96
hardnet68ds|4.18|0.80|25.71
hardnet39ds|3.49|0.45|27.92
googlenet|6.62|1.51|30.22
alexnet|61.10|0.77|43.45
shufflenet_v2_x1_0|2.28|0.15|30.64
vgg11|132.86|7.74|30.98
vgg13|133.05|11.44|30.07
vgg16|138.36|15.61|28.41
vgg19|143.67|19.77|27.62
mobilenet_v2|3.50|0.33|28.12
densenet121|7.98|2.90|25.35
densenet169|14.15|3.44|24.00
densenet201|20.01|4.39|22.80
densenet161|28.68|7.85|22.35
squeezenet1_0|1.25|0.82|41.90
squeezenet1_1|1.24|0.35|41.81
wide_resnet50_2|68.88|11.46|21.49
wide_resnet101_2|126.89|22.84|21.16
resnext101_32x8d_wsl|88|16|82.2
resnext101_32x16d_wsl|193|36|84.2
resnext101_32x32d_wsl|466|87|85.1
resnext101_32x48d_wsl|829|153|85.4
